clinician_id,clinician_name,department_id,designation,years_experience
20176,Jill Lee,6,GP,18
20177,Katherine Davis,7,Specialist,23
20178,Cynthia Cain,1,Consultant,12
20179,Christopher Nguyen,6,Specialist,19
20180,Mary Daniels,3,Consultant,25
20181,John Deleon,7,Specialist,12
20182,Maria Thomas,2,Specialist,27
20183,Michelle Adams MD,2,Consultant,24
20184,Bryan Snyder,4,GP,22
20185,Joshua Fisher,8,GP,17
20186,Angela Hale,3,GP,2
20187,Albert Bell,8,Specialist,14
20188,William Moreno,7,GP,28
20189,Mathew Adams,5,Specialist,13
20190,Cynthia Lewis,4,GP,24
20191,Tina Romero,2,GP,6
20192,Dominique Anderson,9,GP,17
20193,Maria Price,4,Consultant,9
20194,Courtney Haley,5,GP,30
20195,Hannah Bell,2,GP,8
20196,Mariah Gordon,2,Specialist,14
20197,Raymond Murray,2,Specialist,2
20198,Michael Rodriguez,2,Consultant,10
20199,Courtney Hardy,9,GP,28
20200,Corey Brown,5,GP,21
20201,Diana Scott,6,Specialist,3
20202,Margaret Smith,4,Specialist,30
20203,Lynn Miller,2,Specialist,17
20204,Michelle Bullock,3,GP,7
20205,Brian Everett,3,Consultant,25
20206,Darius Tapia,8,Specialist,12
20207,Wanda Chavez,8,GP,27
20208,Scott Chung,6,Specialist,7
20209,Danielle Randall,8,Specialist,3
20210,Mr. Anthony Ward,3,Consultant,6
20211,Gregory Tyler,7,Specialist,3
20212,Katelyn White,5,Specialist,4
20213,Angela Johnson,9,Consultant,16
20214,James Holland,9,Specialist,15
20215,Mr. Samuel Glass,5,Specialist,1
20216,Michele Brady,6,Specialist,2
20217,Alex Wilson,1,Specialist,1
20218,Robert Smith,4,Specialist,26
20219,Janet Shields,1,Specialist,18
20220,Robert Heath,4,Consultant,4
20221,Kenneth Boyer,1,Consultant,6
20222,Victoria Edwards,4,GP,11
20223,Daniel Hart,6,Specialist,30
20224,Kevin Morris,9,Specialist,12
20225,Melissa Gonzalez DVM,2,Specialist,8
20226,Vicki Taylor,2,Consultant,30
20227,Jennifer Riley,6,Specialist,14
20228,Jennifer Hopkins,6,Specialist,10
20229,James Reynolds,3,Specialist,25
20230,Evan Hill,2,Specialist,26
20231,Janet Ramirez,3,Consultant,23
20232,Carrie Perry,4,Consultant,4
20233,Laura Wolf,4,Specialist,15
20234,Gina Cooper,7,Specialist,30
20235,Amy Gonzalez,4,GP,16
20236,Kimberly Beck,6,Consultant,14
20237,Paula Richardson,6,GP,15
20238,Tiffany King,3,GP,23
20239,Brent Gates,9,Specialist,17
20240,Joseph Cameron,5,GP,27
20241,Justin Payne,9,GP,12
20242,Stephanie Bass,6,Specialist,30
20243,Jessica Hinton,6,Specialist,30
20244,Sarah Patrick,9,Consultant,13
20245,Richard Roberts,5,Specialist,14
20246,Russell Sims Jr.,3,Consultant,26
20247,Kathryn Mcmillan,3,GP,11
20248,Matthew Miller,2,Specialist,11
20249,Jodi Davis,2,GP,6
20250,Duane Thompson,6,Specialist,1
20251,Katherine Robinson,8,Specialist,24
20252,Eric Gibson,8,Specialist,20
20253,Ashley Sims MD,8,Specialist,8
20254,Joseph Smith,7,GP,8
20255,Paul Walter,2,Specialist,30
20256,David Bass,2,Consultant,30
20257,Caroline Wilson,7,GP,18
20258,Leah Scott,4,Specialist,22
20259,Brandon Nicholson,6,Specialist,13
20260,Richard Day,9,Specialist,26
20261,Henry Fields,5,Specialist,14
20262,Sheryl Carpenter,4,Specialist,30
20263,Johnathan Thomas,3,Specialist,15
20264,Matthew Page,7,Specialist,4
20265,Erica Jones,7,Consultant,19
20266,Natalie Gillespie,7,Specialist,13
20267,Kenneth Garcia,5,GP,9
20268,Madison Garner,8,Specialist,16
20269,Thomas Raymond,2,Consultant,28
20270,Jessica Freeman,4,Specialist,26
20271,Zachary Estes,1,GP,28
20272,Jose Harmon,6,GP,9
20273,Lindsey Terry,6,Specialist,2
20274,Alexis Dixon,3,Consultant,21
20275,Tony Barron,1,Specialist,26
20276,Jamie Henderson,5,Consultant,10
20277,Kimberly Pratt,1,Specialist,7
20278,Kimberly Jones,3,GP,9
20279,Jason Jensen,8,Specialist,8
20280,Nicholas Andrews,9,Consultant,26
20281,Brooke Love,3,Specialist,20
20282,Jesse Johnson,9,GP,19
20283,Robin Coleman,7,Specialist,1
20284,Heather Mora,8,GP,1
20285,Tammy Quinn,6,Consultant,25
20286,Kyle Ramos,5,GP,20
20287,Lindsay Browning,8,Specialist,8
20288,John Holt DDS,2,Specialist,4
20289,Alexis Barrera,7,Specialist,28
20290,Nicholas Jenkins,1,Specialist,22
20291,Matthew Wright,7,Specialist,4
20292,Ryan Walker,6,Consultant,15
20293,John Campbell,4,Specialist,2
20294,Matthew Thompson,3,GP,17
20295,Mr. Robert Cole MD,9,Specialist,8
20296,Kimberly Ayers,6,Consultant,16
20297,James Manning,6,GP,6
20298,Brittney Dudley,1,Consultant,1
20299,Teresa Taylor MD,5,Specialist,5
20300,Gary Yates,7,Specialist,19
